date,value
"2020-04-11",-38
"2020-04-10",-30
"2020-04-09",-29
"2020-04-08",-27
"2020-04-07",-31
"2020-04-06",-33
"2020-04-05",-41
"2020-04-04",-46
"2020-04-03",-38
"2020-04-02",-31
"2020-04-01",-23
"2020-03-31",-28
"2020-03-30",-36
"2020-03-29",-36
"2020-03-28",-37
"2020-03-27",-34
"2020-03-26",-29
"2020-03-25",-22
"2020-03-24",-24
"2020-03-23",-28
"2020-03-22",-37
"2020-03-21",-36
"2020-03-20",-28
"2020-03-19",-22
"2020-03-18",-14
"2020-03-17",-10
"2020-03-16",-4
"2020-03-15",-4
"2020-03-14",-5
"2020-03-13",0
"2020-03-12",10
"2020-03-11",15
"2020-03-10",12
"2020-03-09",8
"2020-03-08",7
"2020-03-07",9
"2020-03-06",10
"2020-03-05",12
"2020-03-04",14
"2020-03-03",15
"2020-03-02",15
"2020-03-01",13
"2020-02-29",17
"2020-02-28",14
"2020-02-27",15
"2020-02-26",15
"2020-02-25",12
"2020-02-24",3
"2020-02-23",0
"2020-02-22",1
"2020-02-21",3
"2020-02-20",2
"2020-02-19",2
"2020-02-18",5
"2020-02-17",0
"2020-02-16",3
