date,value
"2020-04-11",-61
"2020-04-10",-62
"2020-04-09",-61
"2020-04-08",-59
"2020-04-07",-57
"2020-04-06",-58
"2020-04-05",-66
"2020-04-04",-64
"2020-04-03",-62
"2020-04-02",-51
"2020-04-01",-47
"2020-03-31",-49
"2020-03-30",-49
"2020-03-29",-59
"2020-03-28",-59
"2020-03-27",-49
"2020-03-26",-46
"2020-03-25",-51
"2020-03-24",-46
"2020-03-23",-55
"2020-03-22",-57
"2020-03-21",-45
"2020-03-20",-37
"2020-03-19",-35
"2020-03-18",-31
"2020-03-17",-28
"2020-03-16",-16
"2020-03-15",-13
"2020-03-14",-10
"2020-03-13",-3
"2020-03-12",3
"2020-03-11",6
"2020-03-10",6
"2020-03-09",7
"2020-03-08",8
"2020-03-07",8
"2020-03-06",4
"2020-03-05",2
"2020-03-04",7
"2020-03-03",6
"2020-03-02",5
"2020-03-01",7
"2020-02-29",8
"2020-02-28",5
"2020-02-27",2
"2020-02-26",3
"2020-02-25",2
"2020-02-24",-1
"2020-02-23",2
"2020-02-22",6
"2020-02-21",6
"2020-02-20",0
"2020-02-19",1
"2020-02-18",2
"2020-02-17",1
"2020-02-16",14
