date,value
"2020-04-11",-41
"2020-04-10",-33
"2020-04-09",-32
"2020-04-08",-32
"2020-04-07",-32
"2020-04-06",-32
"2020-04-05",-39
"2020-04-04",-42
"2020-04-03",-37
"2020-04-02",-43
"2020-04-01",-34
"2020-03-31",-31
"2020-03-30",-31
"2020-03-29",-37
"2020-03-28",-43
"2020-03-27",-42
"2020-03-26",-37
"2020-03-25",-35
"2020-03-24",-32
"2020-03-23",-28
"2020-03-22",-37
"2020-03-21",-39
"2020-03-20",-38
"2020-03-19",-33
"2020-03-18",-18
"2020-03-17",-9
"2020-03-16",-2
"2020-03-15",-3
"2020-03-14",-6
"2020-03-13",-5
"2020-03-12",2
"2020-03-11",7
"2020-03-10",8
"2020-03-09",9
"2020-03-08",9
"2020-03-07",11
"2020-03-06",11
"2020-03-05",9
"2020-03-04",10
"2020-03-03",10
"2020-03-02",9
"2020-03-01",3
"2020-02-29",4
"2020-02-28",12
"2020-02-27",10
"2020-02-26",9
"2020-02-25",6
"2020-02-24",-1
"2020-02-23",0
"2020-02-22",8
"2020-02-21",7
"2020-02-20",3
"2020-02-19",4
"2020-02-18",0
"2020-02-17",2
"2020-02-16",2
