date,value
"2020-04-11",-32
"2020-04-10",-45
"2020-04-09",-32
"2020-04-08",-30
"2020-04-07",-30
"2020-04-06",-32
"2020-04-05",-30
"2020-04-04",-27
"2020-04-03",-38
"2020-04-02",-26
"2020-04-01",-25
"2020-03-31",-25
"2020-03-30",-27
"2020-03-29",-26
"2020-03-28",-47
"2020-03-27",-60
"2020-03-26",-16
"2020-03-25",-18
"2020-03-24",-7
"2020-03-23",11
"2020-03-22",-8
"2020-03-21",-12
"2020-03-20",-11
"2020-03-19",-3
"2020-03-18",1
"2020-03-17",4
"2020-03-16",7
"2020-03-15",10
"2020-03-14",6
"2020-03-13",3
"2020-03-12",4
"2020-03-11",6
"2020-03-10",6
"2020-03-09",5
"2020-03-08",6
"2020-03-07",7
"2020-03-06",6
"2020-03-05",6
"2020-03-04",6
"2020-03-03",7
"2020-03-02",7
"2020-03-01",8
"2020-02-29",9
"2020-02-28",7
"2020-02-27",5
"2020-02-26",4
"2020-02-25",1
"2020-02-24",1
"2020-02-23",1
"2020-02-22",3
"2020-02-21",2
"2020-02-20",2
"2020-02-19",1
"2020-02-18",0
"2020-02-17",1
"2020-02-16",1
