date,value
"2020-03-29",-35
"2020-03-28",-31
"2020-03-27",-26
"2020-03-26",-28
"2020-03-25",-27
"2020-03-24",-27
"2020-03-23",-25
"2020-03-22",-25
"2020-03-21",-24
"2020-03-20",-23
"2020-03-19",-24
"2020-03-18",-25
"2020-03-17",-23
"2020-03-16",-20
"2020-03-15",-19
"2020-03-14",-19
"2020-03-13",-20
"2020-03-12",-21
"2020-03-11",-21
"2020-03-10",-21
"2020-03-09",-21
"2020-03-08",-21
"2020-03-07",-20
"2020-03-06",-20
"2020-03-05",-21
"2020-03-04",-23
"2020-03-03",-23
"2020-03-02",-22
"2020-03-01",-22
"2020-02-29",-22
"2020-02-28",-22
"2020-02-27",-23
"2020-02-26",-24
"2020-02-25",-24
"2020-02-24",-24
"2020-02-23",-23
"2020-02-22",-24
"2020-02-21",-23
"2020-02-20",-24
"2020-02-19",-24
"2020-02-18",-24
"2020-02-17",-24
"2020-02-16",-23
