date,value
"2020-03-29",-62
"2020-03-28",-59
"2020-03-27",-54
"2020-03-26",-53
"2020-03-25",-41
"2020-03-24",-45
"2020-03-23",-44
"2020-03-22",-47
"2020-03-21",-46
"2020-03-20",-42
"2020-03-19",-38
"2020-03-18",-32
"2020-03-17",-25
"2020-03-16",-11
"2020-03-15",-7
"2020-03-14",-6
"2020-03-13",-4
"2020-03-12",0
"2020-03-11",3
"2020-03-10",2
"2020-03-09",5
"2020-03-08",11
"2020-03-07",12
"2020-03-06",7
"2020-03-05",4
"2020-03-04",5
"2020-03-03",8
"2020-03-02",13
"2020-03-01",12
"2020-02-29",12
"2020-02-28",5
"2020-02-27",1
"2020-02-26",-2
"2020-02-25",6
"2020-02-24",5
"2020-02-23",9
"2020-02-22",11
"2020-02-21",8
"2020-02-20",5
"2020-02-19",7
"2020-02-18",5
"2020-02-17",-4
"2020-02-16",19
