date,value
"2020-03-29",-36
"2020-03-28",-32
"2020-03-27",-44
"2020-03-26",-45
"2020-03-25",-44
"2020-03-24",-41
"2020-03-23",-37
"2020-03-22",-30
"2020-03-21",-23
"2020-03-20",-31
"2020-03-19",-32
"2020-03-18",-29
"2020-03-17",-27
"2020-03-16",-23
"2020-03-15",-12
"2020-03-14",-5
"2020-03-13",-11
"2020-03-12",-13
"2020-03-11",-10
"2020-03-10",-9
"2020-03-09",-9
"2020-03-08",-4
"2020-03-07",1
"2020-03-06",3
"2020-03-05",3
"2020-03-04",3
"2020-03-03",3
"2020-03-02",3
"2020-03-01",3
"2020-02-29",3
"2020-02-28",3
"2020-02-27",2
"2020-02-26",3
"2020-02-25",4
"2020-02-24",3
"2020-02-23",3
"2020-02-22",1
"2020-02-21",3
"2020-02-20",3
"2020-02-19",1
"2020-02-18",3
"2020-02-17",0
"2020-02-16",-17
