date,value
"2020-03-29",-54
"2020-03-28",-56
"2020-03-27",-65
"2020-03-26",-58
"2020-03-25",-54
"2020-03-24",-55
"2020-03-23",-57
"2020-03-22",-50
"2020-03-21",-49
"2020-03-20",-50
"2020-03-19",-43
"2020-03-18",-39
"2020-03-17",-36
"2020-03-16",-31
"2020-03-15",-19
"2020-03-14",-16
"2020-03-13",-16
"2020-03-12",-12
"2020-03-11",-8
"2020-03-10",-6
"2020-03-09",-7
"2020-03-08",-6
"2020-03-07",-4
"2020-03-06",-3
"2020-03-05",0
"2020-03-04",0
"2020-03-03",-1
"2020-03-02",-2
"2020-03-01",-1
"2020-02-29",1
"2020-02-28",1
"2020-02-27",3
"2020-02-26",1
"2020-02-25",-5
"2020-02-24",-7
"2020-02-23",-9
"2020-02-22",-7
"2020-02-21",-9
"2020-02-20",-6
"2020-02-19",-5
"2020-02-18",-7
"2020-02-17",-7
"2020-02-16",-8
