date,value
"2020-03-29",-57
"2020-03-28",-55
"2020-03-27",-61
"2020-03-26",-58
"2020-03-25",-57
"2020-03-24",-56
"2020-03-23",-46
"2020-03-22",-33
"2020-03-21",-16
"2020-03-20",-17
"2020-03-19",-15
"2020-03-18",-14
"2020-03-17",-13
"2020-03-16",-4
"2020-03-15",-1
"2020-03-14",6
"2020-03-13",2
"2020-03-12",-3
"2020-03-11",-2
"2020-03-10",-1
"2020-03-09",0
"2020-03-08",3
"2020-03-07",7
"2020-03-06",7
"2020-03-05",1
"2020-03-04",0
"2020-03-03",2
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",-2
"2020-02-28",-4
"2020-02-27",-3
"2020-02-26",-1
"2020-02-25",-2
"2020-02-24",-4
"2020-02-23",-4
"2020-02-22",-1
"2020-02-21",3
"2020-02-20",-3
"2020-02-19",-5
"2020-02-18",-8
"2020-02-17",-2
"2020-02-16",0
